Date	Time0 Sensor0	Time1 Sensor1	Time2 Sensor2	Time3 Sensor3	Time4 Sensor4
11/30/2011	17:55:00 2694.378801	17:55:03 2693.887038	17:55:05 2441.811900	17:55:08 2440.394837	17:55:11 3566.844698
11/30/2011	17:55:15 2701.267491	17:55:18 2706.192563	17:55:20 2446.537775	17:55:23 2441.339509	17:55:26 3250.303275
11/30/2011	17:55:30 2693.887038	17:55:33 2692.411977	17:55:35 2433.786143	17:55:38 2435.201700	17:55:41 3461.506861
11/30/2011	17:55:45 2687.497580	17:55:48 2686.024003	17:55:50 2431.427596	17:55:53 2431.427596	17:55:56 3342.019544
11/30/2011	17:56:00 2691.428793	17:56:03 2684.550768	17:56:05 2425.299560	17:56:08 2424.828423	17:56:11 3387.261511
11/30/2011	17:56:15 2678.661250	17:56:18 2677.680195	17:56:20 2419.648272	17:56:23 2416.824555	17:56:26 3321.408245
11/30/2011	17:56:30 2662.982571	17:56:33 2662.003941	17:56:35 2405.072875	17:56:38 2404.603271	17:56:41 3438.871345
11/30/2011	17:56:45 2648.318987	17:56:48 2646.854496	17:56:50 2388.657845	17:56:53 2386.784607	17:56:56 3332.790821
11/30/2011	17:57:00 2631.254337	17:57:03 2630.280604	17:57:05 2373.220557	17:57:08 2370.884929	17:57:11 3357.792181
11/30/2011	17:57:15 2623.955003	17:57:18 2622.496148	17:57:21 2368.083340	17:57:23 2369.483976	17:57:26 3379.062551
11/30/2011	17:57:30 2626.873724	17:57:33 2628.333590	17:57:35 2374.155055	17:57:38 2377.426909	17:57:41 3338.217935
11/30/2011	17:57:45 2638.074668	17:57:48 2637.587258	17:57:50 2383.039831	17:57:53 2386.316386	17:57:56 3442.730555
11/30/2011	17:58:00 2644.902369	17:58:03 2646.366408	17:58:05 2391.000189	17:58:08 2391.468764	17:58:11 3380.701539
11/30/2011	17:58:15 2642.950845	17:58:18 2646.854496	17:58:20 2392.874702	17:58:23 2393.812171	17:58:26 3398.209102
11/30/2011	17:58:30 2644.414432	17:58:33 2641.975309	17:58:35 2382.571893	17:58:38 2378.362043	17:58:41 3321.408245
11/30/2011	17:58:45 2627.846931	17:58:48 2622.496148	17:58:50 2363.416843	17:58:53 2358.287762	17:58:56 3374.693878
11/30/2011	17:59:00 2604.531292	17:59:03 2600.169192	17:59:05 2341.531392	17:59:08 2339.207712	17:59:11 3287.376830
11/30/2011	17:59:15 2588.551671	17:59:18 2586.134050	17:59:20 2330.849703	17:59:23 2329.921734	17:59:26 3283.067818
11/30/2011	17:59:30 2579.369650	17:59:33 2580.335547	17:59:35 2326.211255	17:59:38 2326.674943	17:59:41 3263.174937
11/30/2011	17:59:45 2578.403900	17:59:48 2577.438299	17:59:50 2323.429861	17:59:53 2322.966417	17:59:56 3299.241041
11/30/2011	18:00:00 2575.024944	18:00:03 2574.059862	18:00:05 2319.723287	18:00:08 2316.944820	18:00:11 3218.233159
11/30/2011	18:00:15 2569.236671	18:00:18 2568.272476	18:00:20 2313.704859	18:00:23 2311.854218	18:00:26 3313.289725
11/30/2011	18:00:30 2564.417178	18:00:33 2563.453723	18:00:35 2310.004132	18:00:38 2310.004132	18:00:41 3287.915653
11/30/2011	18:00:45 2563.935432	18:00:48 2564.417178	18:00:50 2312.316826	18:00:53 2313.704859	18:00:56 3288.454520
11/30/2011	18:01:00 2570.683239	18:01:03 2572.612516	18:01:05 2318.796992	18:01:08 2319.260123	18:01:11 3167.242626
11/30/2011	18:01:15 2575.024944	18:01:18 2575.990175	18:01:20 2324.356853	18:01:23 2325.283984	18:01:26 3351.261052
11/30/2011	18:01:30 2586.134050	18:01:33 2588.068073	18:01:35 2335.491643	18:01:38 2336.884906	18:01:41 3320.325203
11/30/2011	18:01:45 2597.747107	18:01:48 2601.138286	18:01:50 2350.369365	18:01:53 2351.765992	18:01:56 3290.610424
11/30/2011	18:02:00 2611.808175	18:02:03 2617.149898	18:02:05 2366.216318	18:02:08 2367.616531	18:02:11 3318.159649
11/30/2011	18:02:15 2633.202252	18:02:18 2639.049603	18:02:20 2387.252864	18:02:23 2389.126243	18:02:26 3357.247677
11/30/2011	18:02:30 2645.390345	18:02:33 2649.295503	18:02:35 2391.468764	18:02:38 2393.343419	18:02:41 3354.525818
11/30/2011	18:02:45 2649.295503	18:02:48 2647.830786	18:02:50 2394.749783	18:02:53 2391.937375	18:02:56 3405.334642
